text,label
"Dear customer, aapka KYC update nahi hua. Account block hone se bachne ke liye link par click kare: bit.ly/kyc01",1
"UPI service suspend ho jayegi. Verification ke liye abhi OTP enter kare aur account reactivate kare",1
"Aapka bank account temporarily hold par hai. KYC complete karne ke liye link open kare",1
"Electricity bill pending hai. Aaj payment nahi ki to connection disconnect ho jayega. Click kare",1
"Congratulations! Aapne Rs 25,000 prize jeeta hai. Claim karne ke liye details submit kare",1
"PAN card verification failed. Account restrictions se bachne ke liye link par click kare",1
"Aadhaar linking pending hai. Bank services continue rakhne ke liye update kare",1
"Recharge cashback claim kare. Offer expire hone wala hai. Link par click kare",1
"UPI ID deactivate hone wali hai. Verification ke liye abhi login kare",1
"Bank alert: Aapka account suspicious activity ke karan freeze ho sakta hai. Verify now",1
"KYC document expire ho gaya hai. Account active rakhne ke liye update kare",1
"Dear user, reward points expire ho rahe hain. Cash redeem karne ke liye click kare",1
"Electricity board notice: Bill due hai. Immediate payment nahi hua to supply band hogi",1
"Loan approval mil gaya hai. Processing fee pay karne ke liye link open kare",1
"UPI account block warning. Verification pending. Click and update details",1
"Bank server update ke chalte account verify karna zaroori hai. Link par jaye",1
"Free smartphone jeetne ke liye lucky draw claim kare. Details submit kare",1
"PAN update required. Aaj hi complete kare warna account restricted ho jayega",1
"Aadhaar KYC incomplete. Government subsidy continue rakhne ke liye verify kare",1
"Recharge reward Rs 199 pending hai. Claim karne ke liye link par click kare",1
"Your ATM card block hone wala hai. Verification ke liye OTP share kare",1
"Bank notice: Mobile number update nahi hua. Service interruption se bachne ke liye click kare",1
"UPI transaction failed due to KYC issue. Account reactivate karne ke liye login kare",1
"Electricity bill overdue hai. Payment abhi kare warna power cut ho jayega",1
"Prize money Rs 50,000 ready hai. Claim process complete karne ke liye click kare",1
"Account security update required. Login karke details confirm kare",1
"Dear customer, KYC reject ho gaya. Re-submit documents using secure link",1
"Aapka bank account suspend ho sakta hai. Immediate verification required",1
"Income tax refund receive karne ke liye bank details verify kare",1
"UPI PIN expired. Update karne ke liye given link par click kare",1
"Credit card reward claim kare. Offer aaj midnight tak valid hai",1
"Bank account inactive detect hua hai. Reactivate karne ke liye login kare",1
"Aadhaar se PAN link nahi hai. Penalty se bachne ke liye abhi update kare",1
"Electricity department alert: Final reminder for bill payment. Click here",1
"Dear user, cashback reward pending hai. Claim karne ke liye details verify kare",1
